TransacaoID;ClienteID;DataHora;ValorTransacao;Localizacao;Canal;TipoTransacao;Dispositivo;IdadeCliente;CidadeResidencia;EstadoResidencia;DispositivoPreferido;DistanciaKM;TransacoesUltimos10min;TempoContaAbertaDias;VPNDetectada;SuspeitaFraude;Fraude_IA;FraudeConfirmada
93;157;2025-04-29 22:37:38;32.45;Campos - RJ;Site;Pix;iOS;37;Campos;RJ;iOS;0;4;3542;0;Não;;Não
94;160;2025-05-29 13:26:00;349.32;Cirino - PR;Site;Pix;Android;40;Cirino;PR;iOS;0;2;1361;0;Não;;Não
95;867;2025-04-13 22:31:46;107.42;Costela - RJ;App;Pix;iOS;48;Costela;RJ;Android;0;3;208;0;Não;;Não
96;57;2025-03-04 18:32:38;20.92;Teixeira - SC;Agência;Cartão;Android;51;Teixeira;SC;Android;0;0;3121;0;Não;;Não
97;12;2025-06-27 16:46:59;127.34;Oliveira - MG;Site;Boleto;iOS;61;Oliveira;MG;Desktop;0;1;637;0;Não;;Não
98;895;2025-03-28 03:48:23;14.05;Barros - GO;App;Pix;iOS;69;Barros;GO;iOS;0;2;1752;0;Não;;Não
99;66;2025-05-30 06:27:14;1089.06;Caldeira do Campo - RJ;Agência;Pix;Desktop;57;Caldeira do Campo;RJ;Android;0;3;238;0;Não;;Não
100;512;2025-07-19 12:21:26;415.47;da Paz - RJ;Site;Cartão;Android;85;Casa Grande do Amparo;MG;Android;722;0;1859;0;Não;;Não
101;119;2025-03-01 11:35:43;425.97;Cunha da Mata - SC;Agência;Pix;Android;23;Cunha da Mata;SC;iOS;0;0;336;0;Não;;Sim
102;48;2025-02-06 15:22:57;10.0;Gomes - SC;Site;Cartão;Android;72;Gomes;SC;Android;0;1;261;0;Não;;Não
103;567;2025-06-20 09:10:48;201.21;Ferreira Alegre - PR;Agência;Transferência;iOS;66;da Mota;SC;Android;659;2;2883;0;Não;;Não
104;328;2025-02-12 23:36:13;344.94;Caldeira - GO;App;Boleto;Android;30;Caldeira;GO;iOS;0;0;852;0;Não;;Não
105;184;2025-03-19 08:37:26;95.91;Brito - MG;Agência;Pix;Outro;82;Brito;MG;iOS;0;3;2732;0;Não;;Não
106;290;2025-07-11 18:30:46;166.63;Fernandes Paulista - PR;Site;Boleto;Android;48;Fernandes Paulista;PR;Android;0;0;1665;0;Não;;Sim
107;206;2025-05-29 15:18:18;53.6;Nascimento - RJ;Site;Cartão;iOS;49;Nascimento;RJ;Android;0;3;2688;0;Não;;Não
108;792;2025-06-27 12:22:30;354.94;Peixoto - SP;Agência;Cartão;Android;77;Peixoto;SP;Android;0;1;1096;0;Não;;Não
109;239;2025-07-06 10:00:16;25.79;Campos - RS;Agência;Pix;iOS;21;Campos;RS;iOS;0;2;1377;0;Não;;Não
110;870;2025-06-08 03:09:45;318.84;Silva do Campo - MG;Site;Pix;Android;70;Silva do Campo;MG;iOS;0;1;2939;0;Não;;Não
111;504;2025-03-08 21:38:13;903.95;Teixeira das Pedras - RJ;Agência;Boleto;Android;84;Silveira;MG;iOS;390;0;1877;0;Não;;Não
112;533;2025-02-02 09:32:37;169.87;Siqueira - RJ;Site;Transferência;iOS;79;Siqueira;RJ;Outro;0;5;3471;0;Não;;Não
113;137;2025-06-01 00:29:21;163.28;Albuquerque do Norte - MG;Site;Pix;iOS;37;Albuquerque do Norte;MG;Android;0;4;1155;0;Não;;Não
114;988;2025-01-27 11:49:26;152.05;Camargo do Norte - RS;Site;Boleto;Android;44;Camargo do Norte;RS;Android;0;2;981;0;Não;;Não
115;852;2025-07-14 07:41:53;1240.13;Caldeira dos Dourados - RJ;Site;Transferência;Android;42;Caldeira dos Dourados;RJ;iOS;0;2;1143;0;Não;;Não
116;140;2025-06-19 09:45:40;673.58;Vasconcelos do Amparo - SC;Agência;Pix;Android;51;Vasconcelos do Amparo;SC;Desktop;0;1;2002;0;Não;;Não
117;322;2025-06-15 21:19:22;71.9;Barros - SC;Agência;Boleto;Android;71;Barros;SC;iOS;0;1;2442;0;Não;;Não
118;873;2025-07-06 09:56:04;316.38;Costela - RS;App;Boleto;Android;38;Costela;RS;iOS;0;5;2675;0;Não;;Sim
119;856;2025-04-25 11:00:43;599.32;Costela - RJ;App;Cartão;Android;62;Gonçalves;SC;Android;928;3;3258;0;Não;;Não
120;267;2025-02-19 15:06:50;1034.42;Albuquerque - RJ;App;Transferência;Android;56;da Conceição do Campo;GO;iOS;1126;4;2803;0;Não;;Não
121;474;2025-07-20 00:59:12;608.91;Carvalho Verde - GO;App;Pix;iOS;30;Carvalho Verde;GO;iOS;0;0;2005;0;Não;;Não
122;228;2025-06-22 21:47:07;442.11;Costa - MG;Site;Boleto;iOS;70;Costa;MG;Android;0;5;2223;0;Não;;Não
123;597;2025-06-22 09:02:10;429.42;Novais - MG;App;Pix;iOS;25;Novais;MG;iOS;0;0;2079;0;Não;;Não
124;829;2025-06-30 06:20:06;42.21;das Neves - PR;Site;Pix;Android;80;das Neves;PR;iOS;0;0;2306;0;Não;;Não
125;947;2025-05-14 10:22:35;760.91;Cardoso - PR;Agência;Transferência;iOS;42;Cardoso;PR;Android;0;3;3136;0;Não;;Não
126;177;2025-06-25 09:29:06;477.68;Garcia - SP;App;Boleto;Android;83;Garcia;SP;iOS;0;2;1578;0;Não;;Não
127;629;2025-07-22 11:21:59;37.43;Pacheco - RJ;App;Boleto;Android;41;Pacheco;RJ;Android;0;3;1400;0;Não;;Não
128;63;2025-06-27 08:22:57;347.09;Cirino de Jesus - SP;Site;Cartão;Android;85;Cirino de Jesus;SP;iOS;0;3;2454;0;Não;;Não
129;539;2025-03-20 22:07:48;67.14;Pereira do Campo - SP;Agência;Pix;Android;52;Pereira do Campo;SP;Android;0;3;739;0;Não;;Não
130;558;2025-06-17 21:58:09;19.91;Pires - MG;Site;Boleto;Android;32;Pires;MG;Android;0;3;2778;0;Não;;Sim
131;612;2025-07-04 15:28:04;94.0;Alves - SC;Site;Pix;iOS;84;Alves;SC;iOS;0;3;651;0;Não;;Não
132;239;2025-02-19 18:14:16;111.48;Garcia - SP;App;Cartão;Android;21;Campos;RS;iOS;745;4;1377;0;Não;;Não
133;58;2025-07-04 21:31:22;10.0;da Cruz - SC;App;Transferência;Android;40;da Cruz;SC;Android;0;2;436;0;Não;;Não
134;178;2025-02-27 07:09:22;149.52;Andrade das Flores - MG;Agência;Boleto;Android;42;Andrade das Flores;MG;Android;0;5;182;0;Não;;Não
135;29;2025-02-17 07:40:31;274.9;da Cunha - SC;Site;Cartão;Android;27;da Cunha;SC;Android;0;4;2601;0;Não;;Não
136;830;2025-07-08 05:20:46;356.22;Casa Grande do Galho - RS;Agência;Boleto;iOS;56;da Rocha;RS;Android;94;3;3342;0;Não;;Não
137;617;2025-03-26 06:25:12;454.04;Rios - SP;Agência;Transferência;Android;60;Rios;SP;Android;0;0;1351;0;Não;;Não
138;826;2025-06-04 13:15:05;196.47;Machado - RJ;Agência;Cartão;Android;58;Machado;RJ;iOS;0;2;1610;0;Não;;Não
139;722;2025-01-23 22:54:42;83.14;Camargo - GO;App;Boleto;Desktop;25;das Neves Grande;SP;Android;348;2;2750;0;Não;;Não
140;601;2025-03-28 18:58:20;46.12;Dias - PR;Site;Boleto;Android;27;Dias;PR;Android;0;1;3540;1;Não;;Não
141;448;2025-07-07 04:49:38;288.82;Novaes - RJ;Site;Boleto;iOS;71;Novaes;RJ;iOS;0;1;823;0;Não;;Não
142;911;2025-03-15 15:46:07;246.05;Rezende da Serra - GO;Site;Cartão;Android;79;Sampaio de Macedo;RJ;Android;1406;1;1864;0;Não;;Não
143;302;2025-05-24 09:05:35;118.56;Ferreira de Barros - MG;Agência;Pix;Android;42;Ferreira de Barros;MG;Android;0;5;490;0;Não;;Não
144;790;2025-07-18 19:40:06;27.59;Rios - SP;App;Boleto;Android;65;Sampaio;SC;iOS;1452;1;2301;0;Não;;Não
145;509;2025-04-24 00:26:39;10.13;Ramos Alegre - SC;Agência;Pix;Android;59;Ramos Alegre;SC;iOS;0;1;608;0;Não;;Não
146;652;2025-02-20 21:44:16;151.71;Rocha - SP;Agência;Boleto;Android;65;Rios;SC;Android;1114;0;421;0;Não;;Não
147;70;2025-05-16 08:46:10;251.48;Campos dos Dourados - RJ;App;Pix;iOS;34;Campos dos Dourados;RJ;Desktop;0;0;2703;0;Não;;Não
148;993;2025-03-26 11:13:56;483.71;Souza - RS;Site;Transferência;Android;81;Souza;RS;Android;0;3;404;0;Não;;Não
149;849;2025-06-04 20:57:57;54.99;Fernandes do Norte - RS;Agência;Cartão;Android;40;Fernandes do Norte;RS;Android;0;1;2184;0;Não;;Não
150;35;2025-07-05 05:15:42;303.54;Pacheco - GO;Site;Boleto;iOS;22;Pacheco;GO;Desktop;0;0;1293;0;Não;;Não
151;385;2025-06-24 18:38:42;10.0;Rocha de Câmara - MG;App;Pix;iOS;71;Rocha de Câmara;MG;iOS;0;2;3227;0;Não;;Não
152;495;2025-06-04 02:04:28;16.01;Farias de Cassiano - GO;Site;Cartão;Android;63;Farias de Cassiano;GO;Android;0;4;3230;0;Não;;Não
153;104;2025-07-04 15:54:47;370.39;Siqueira - SP;App;Transferência;iOS;69;Siqueira;SP;Android;0;5;675;0;Não;;Não
154;554;2025-01-27 17:10:42;375.62;Freitas de Monteiro - RS;Site;Boleto;iOS;72;Freitas de Monteiro;RS;Android;0;1;2487;0;Não;;Não
155;563;2025-07-15 00:10:20;124.4;Vasconcelos - RJ;App;Boleto;iOS;45;da Luz;GO;Android;207;3;563;0;Não;;Não
156;641;2025-04-28 11:39:20;25.05;Nascimento - GO;App;Pix;iOS;54;Nascimento;GO;Android;0;0;3067;0;Não;;Não
157;84;2025-06-09 09:36:22;237.95;Souza - SC;App;Boleto;iOS;27;Souza;SC;Android;0;3;975;0;Não;;Não
158;272;2025-05-08 03:24:58;180.62;Machado - SP;Agência;Transferência;iOS;61;Machado;SP;iOS;0;1;3480;0;Não;;Não
159;192;2025-03-27 00:13:10;224.22;da Rocha das Pedras - RS;Site;Transferência;iOS;44;da Rocha das Pedras;RS;iOS;0;3;3219;0;Não;;Não
160;578;2025-02-23 20:30:33;25.55;Farias de Minas - SP;Agência;Pix;Android;64;Farias de Minas;SP;iOS;0;0;1789;0;Não;;Não
161;424;2025-04-10 23:41:09;85.15;Ramos - SC;App;Pix;Android;36;Pimenta de Goiás;RJ;Android;992;4;1889;0;Não;;Não
162;888;2025-02-26 09:14:46;616.21;Caldeira - SC;App;Transferência;Android;35;Pimenta;GO;Android;812;0;2066;0;Não;;Não
163;36;2025-03-04 12:26:39;1117.23;Silva - MG;Agência;Cartão;Android;69;Silva;MG;iOS;0;0;272;0;Não;;Não
164;972;2025-04-10 00:30:57;60.31;Vasconcelos Grande - RJ;App;Cartão;iOS;36;Fonseca;GO;iOS;287;3;1897;0;Não;;Não
165;207;2025-02-28 08:52:20;322.5;Machado - PR;App;Boleto;Android;18;Costa;GO;Android;854;5;3525;0;Não;;Não
166;398;2025-05-05 01:29:50;243.15;Moura - RS;Agência;Boleto;iOS;37;Moura;RS;Android;0;2;152;0;Não;;Não
167;13;2025-06-08 04:43:49;77.81;da Mota - GO;Agência;Transferência;Outro;45;da Mota;GO;iOS;0;0;1379;0;Não;;Não
168;603;2025-02-02 11:26:06;1104.19;da Conceição do Oeste - RS;App;Pix;iOS;82;da Conceição do Oeste;RS;Android;0;4;1896;0;Não;;Não
169;889;2025-02-12 10:40:31;66.77;Campos do Amparo - MG;Site;Transferência;iOS;77;Campos do Amparo;MG;Android;0;2;790;0;Não;;Não
170;624;2025-04-24 07:14:21;22.48;Lopes - PR;App;Boleto;Android;66;Lopes;PR;Android;0;3;3243;0;Não;;Não
171;711;2025-02-21 06:45:54;89.39;Porto - GO;Site;Boleto;Android;52;Porto;GO;iOS;0;5;339;0;Não;;Não
172;943;2025-05-12 09:00:40;608.11;Novais da Prata - MG;Site;Pix;iOS;20;Novais da Prata;MG;iOS;0;2;1897;0;Não;;Não
173;288;2025-07-18 18:48:45;407.26;Gonçalves - GO;Agência;Pix;Android;53;Casa Grande das Pedras;SC;Android;666;1;42;0;Não;;Não
174;793;2025-07-16 18:40:00;127.36;Costa do Norte - MG;Agência;Transferência;Android;75;Pereira;RJ;Android;1438;5;578;0;Não;;Não
175;936;2025-06-22 20:35:35;1318.22;da Rosa do Campo - PR;Site;Boleto;Android;71;Oliveira de Macedo;MG;Android;315;4;1567;0;Não;;Não
176;727;2025-01-30 15:12:08;605.29;Vieira de Pires - MG;App;Pix;Android;64;Vieira de Pires;MG;Android;0;1;1569;0;Não;;Não
177;858;2025-05-10 23:00:18;173.2;Sousa de Casa Grande - RS;App;Transferência;iOS;66;Sousa de Casa Grande;RS;Android;0;0;3353;0;Não;;Não
178;281;2025-04-21 09:25:05;200.05;Pinto da Prata - RS;Site;Transferência;iOS;53;Pinto da Prata;RS;iOS;0;5;999;0;Não;;Não
179;248;2025-04-04 16:01:14;692.89;Costela - GO;Agência;Transferência;Android;61;Costela;GO;Desktop;0;1;3604;1;Não;;Não
180;565;2025-06-13 01:46:46;97.23;das Neves de Goiás - SP;App;Boleto;Android;33;das Neves de Goiás;SP;Android;0;5;2038;0;Não;;Não
181;29;2025-07-13 12:14:55;730.37;da Cunha - SC;App;Cartão;Android;27;da Cunha;SC;Android;0;1;2601;0;Não;;Não
182;276;2025-06-19 19:41:29;292.63;da Costa do Norte - RJ;Agência;Pix;iOS;73;da Costa do Norte;RJ;Android;0;5;3006;0;Não;;Não
183;663;2025-05-12 07:33:42;396.28;Melo do Amparo - GO;App;Cartão;Android;30;Melo do Amparo;GO;iOS;0;2;2928;0;Não;;Não
184;730;2025-06-25 15:03:24;377.45;Vieira - PR;Site;Transferência;iOS;74;Novais de Goiás;GO;Android;971;2;315;0;Não;;Não
